,name,z,log_bh,log_lbol,log_edd_ratio,m_app_bol,m_app_lim,M_bol,M_abs_lim,dist,L_L
10309,SDSS J160733.82+192817.3,3.0210000000000004,8.061,46.37,0.209,19.85190606097584,22.531756082655928,-27.17985002168009,-25.332006454579613,25488.907224065162,0.6385617567019389
10310,SDSS J160735.20+422954.9,3.36,9.651,46.42,-1.331,20.003324817818914,22.80817483949901,-27.304850021680096,-25.608425211422695,28949.09342948304,0.6389791181735831
10311,SDSS J160737.94+180823.9,3.074,8.616,46.095,-0.621,20.58470096432213,22.57705098600222,-26.49235002168009,-25.377301357925905,26026.166103431442,0.6386330772026085
10312,SDSS J160743.54+264258.3,3.244,7.9860000000000015,46.03100000000001,-0.055,20.884659893574803,22.71700991525493,-26.332350021680128,-25.517260287178615,27758.882786100112,0.6388461192152671
10313,SDSS J160747.24+162123.5,4.228,8.125,46.463,0.238,20.48837132351403,23.40072134519412,-27.41235002168009,-26.200971717117806,38031.57130764908,0.6397427389053497
10314,SDSS J160755.51+371824.7,3.242,8.575,46.132,-0.5429999999999999,20.63055832344829,22.71540834512838,-26.58485002168009,-25.515658717052066,27738.416762069173,0.6388437426873023
10315,SDSS J160755.64+044716.9,3.093,9.187,46.452,-0.835,19.708240191993767,22.593090213673854,-27.384850021680087,-25.39334058559754,26219.115863866667,0.6386580499112979
10316,SDSS J160757.24+211506.3,3.217,8.622,46.396,-0.326,19.950451018020114,22.695301039700208,-27.244850021680094,-25.495551411623893,27482.75130807576,0.6388137868227393
10317,SDSS J160802.87+225917.7,3.2460000000000004,8.746,46.464,-0.382,19.803760430853078,22.718610452533166,-27.41485002168009,-25.51886082445685,27779.350697330206,0.6388484928153652
10318,SDSS J160815.42+214731.0,3.091,8.512,46.201,-0.411,20.334056711467934,22.59140673314803,-26.757350021680097,-25.391657105071715,26198.79680975769,0.6386554356587907
